"username","description"
"NanaB_2010","@Owl_B_There (Post)  @NanaB_2010@mstdn.social Psych major, Analyst  #BlackLivesMatter #Autism  #PTSD #BP #SpecialOlympics #Advocacy #Climate #Equality #Spoonie"
"TrishaCastranio","Working in the federal sector in global env health & climate change, w interests in sustainability, resilience, health, earth obs, SDGs, & my GSD. Tweets my own"
"queenadalite","I grew up on the street where Kurt Vonnegut grew up.
We are soul neighbors 
""""We could have saved the Earth but we were too damned cheap."""" 
~ Kurt Vonnegut"
"LoveGeeVee","All good things are wild and free :victory hand: medium-dark skin tone:"
"Bseeley082","#ImStillWithHer #SheWon"
"TerriDuffey","#Resist, Survivor, animal advocate, liberal, wife, cyclist. Trying to be a good human. :seedling::woman biking: medium-light skin tone::dog face::cat face:=:pig face::cow face: #poweredbyplants #livestrong #compassion #cycling"
"BGRDad","Husband. Full-time Dad. USN Veteran. LEGO & Star Wars LEGO fan. The 2nd Amendment defends the 1st. Defend it."
"TylerFishII",""
"dustedcondor","nature, surf, market technician, and other stuff."
"GallicaSociety","high conviction"
"phosphoria31","tweets about the 15th element, related things"
"Jo_Barnes","Newtons 3rd Law is 1st Law of the Universe.  
Supporter of @BushHeritageAus"
"CafeRacerMS",""
"FLClimateInst","A network of Florida universities conducting cross-disciplinary climate research in service of society."
"maksushka","#soccer, #Liverpool, #freebelarus #endrussianagression, #technology, #finance, #world news"
"bankingoffgreen","Just along for the ride. Sports/Festivals/$$$ is why I'm here."
"LimWeather","Tweets #USwx #SevereWx #TropicsWx #FireWx #WinterWx
:thumbs up: @NWS @NHC_Atlantic @NHC_Pacific @NWSSPC @NWSWPC
:red heart::desert island::tornado::cloud with lightning and rain:
W/E Pacific, Atlantic
Likes Mother Nature"
"LocalCelebr1ty",""
"modeshift","New York Times writer, also correspondent for ProPublica, The Guardian, The New Lede, Energy News Network, Mongabay, Circle of Blue. See his blog https://t.co/m7NzsVhcFy"
"RoseyMcDonald7","Artist from Yellowstone,Montana,
no matter where I run poverty & illegals have destroyed lives! 
Awake not Woke,
please end open borders , not open hearts:heart suit:"
"ChristineJoab","Environmental Scientist (CA). Big fan of mother Earth. Promoter of sustainability in hopes that all creatures big & small remain viable. All tweets my own."
"tickedofflymie","Lyme Disease warrior & CPP advocate. Passionate about animals, music, & photography. Partial to pirates, knights & vampires, too."
"Ghee_Marrteenoh","#ChampaBay #GoBolts #RaysUp #GoBucs"
"Chic_AvantGarde","Corn can’t expect justice from a court composed of chickens.
~ African Proverb 
#RuleOfLaw #ArmyBrat #AdultHumanFemale"
"OLEWSOLARTV","@OLEWSOLARTV:sun:: #SolarEnergyAge:sun: Solar-services..Ss.:trade mark: #SolarTech:sun: #NeedSolar:sun:?!:trade mark: #Old2NewSolarInnovation:sun:
#SolarPoweredEVCharge:electric plug:-:sun:"
"wxcharcarl",":high voltage:️University of Miami MS :high voltage:️ Georgia Tech BS (‘22):high voltage:️aspiring broadcast meteorologist:high voltage:️"
"LeAnneS46502915","Trying to live somewhat of a normal life in a crazy world.:winking face:"
"annsummtbe","I pretend, therefore, I am."
"MargoInStPete","Books, Movies, TV is all you need :smirking face::winking face:. :folded hands::four leaf clover::rainbow::hibiscus::purple heart: Love Wins. I need nachos and a donut. Instagram: @MargueriteInStPete"
"rasamy3999",""
"lmhuber1982","Human. She/Her. Proud Blue Voter. Woman for Women's Rights. Anti-GOP."
"LotusMystique","Optimist with a grasp of reality. Kindness enthusiast. Practitioner of gratitude. Student of life. I #saygay :rainbow: with #pride."
"Florida0075",""
"delta_rat","Brad Fisher's SWFL based musings. You only live once, but if you do it right, once is enough. Loving life in The Free State of Florida."
"s13_con","#thisusedtobethepoundsign USF geology :ox:"
"CMcKayFL","SKYWARN, CERT, WX & wildfire geek, everything RF, broad-spectrum hobbyist."
"RicksRambles","Creator/Host of Rick's Rambles podcast.  I tweet #dadjokes #hamradio #music.  Doing the best to make the world a better place. Pastor, Ways of Grace Church"
"DavidPCarney","Ennavé Institute"
"LesieurMare",""
"suki3hunna",""
"TrumpWin24","ULTRA MAGA:flag: United States::red heart::white heart::blue heart:
#Trump2024:flag: United States:Your Vote Matters:flag: United States:Republicans who stay home elect DemocRats:flag: United States:Vote in Person:flag: United States:"
"Joliebe84984324",""
"Jfinno22",""
"klangola","Moderna bivalent on board! Connecticut gal transplanted to Florida eons ago (please don't hold it against me). Cat lover. Tampa Bay Rays fan."
"B_Overstreet32","Husband, Father, and Servant"
"BebeBarcus",""
"ndhottie1978ya2","Retired nurse. Four+ yrs ca fght.  No jabs had:smiling face with sunglasses: Always vote for who u can, Look in the Eyes & see if the eyes match the words & body language."
"Mike5500","History major and Meteorology (Tropical MET) Support toyota (Racing) 1000% storm spotter and hurricane chaser. former IPR radio."
"overandout003",""
"BeachTravelFL","Find the best beach for your next Florida trip. Atlantic Ocean beaches, Gulf beaches, the Panhandle, and the Keys. Know before you go from Locals."
"SusiBV","I am back home where I have always left my heart...The San Francisco Bay Area. #CaliforniaDreaming:smiling face with sunglasses::kiss mark:"
"DiegoUK","Dual American:flag: United States::flag: Ireland:Irish Progressive husband and father. Into politics, social justice and income equality. Feel free to share my content and links. #NotMyComrade"
"cponies10","Experience  horseback riding adventure on our beach horses. Beautiful horses are rescued rehabbed trained & happy Gypsy Horses. Every ride saves this rare breed"
"AllardPPC","'Strategic Solutions for Business, Communities and Planet' • Wetland and Ocean Conservationist #CoastalYomper"
"terrig103","USMC WM Veteran PTSD/SURVIVOR #VetsAgainstTrump #Vets4Biden #RBG4Ever #Resistance #MeToo #VetsResistSquadron #FBR #Resist #Persist #VoteBlue #bekindtoelephants"
"MaxineSykes","#ResistanceTaskForce #BlueWave ##BlackLivesMatter"
"dismisstrump1","4yrs of little sleep,high blood pressure & constant heartache.I’m taking my life back.I packed up my stuff, loaded my co- pilots (Bill & Ted) Explore US"
"xoxpaigee","probably at a concert | 21 | UCF '23"
"lightsonathena","lights will guide you home"
"beachsnooker","Lodge Lead - Dick’s Sporting Goods - North Port, Florida / DOA Lures Kayak Pro-Staff / TB Rays, Bucs, Lightning Fan :baseball:️:american football::ice hockey::thumbs up: light skin tone:"
"nobbysn",""
"neff_andrea",""
"kevinwkorth","Make Today Extraordinary!!!"
"Kat022916",""
"MsCBBoots","Cowgirls don't sugar coat anything. Other social media  same handle"
"floppy115","When Life Hands You Lettuce, Toss A Few Salads!! Grab the world by the Genitalia! Never look back!"
"hugeinhongkong",""
"BoatVerde","Whether you're looking for a peaceful day of fishing or to hit 50 mph in a jet ski, Tierra Verde Boat Rentals has got you covered."
"9zimmy9","Time is a jet plane, it moves too fast
Oh, but what a shame if all we've shared can't last - BD :guitar:"
"tinker68yauco",""
"CocuyitoNC","San Antonio de los Baños. Graduada en la Escuela Nacional de Instructores de Arte, Teatro  https://t.co/83luHI5fBD https://t.co/vdrt8qqrn9"
"narrtrek","I would remind you that the role of court jester is an essential one. Photos/videos in """"landscape,"""" deal with it. Gettr/Parler/Gab: NarrTrek"
"DianeBonilla","Peabody award-winning journalist. WFTS ABC Action News Tampa Bay Nightside Team.  My opinions are my own."
"EyeOnTampaBay",""
"MichelleLCrane1","Wife to Rob, mom of 3 boys."
"SHViking","My loves are my husband, my kids, my grandkids the Vikings, Twins, TWolves, MNWild, ISU Cyclones, Oregon Ducks, SH Hawks!"
"mcomeskey23","USF Alum :flag: United States: Army"
"AHunter8","public information & social media manager @ pasco sheriff’s office // @USouthFlorida & @Georgetown alum // former theme park & sports marketer // :OK button:"
"BTreenew","We need to PROSECUTE those that gained Illegitimate VOTE BY MAIL rule changes Hippocratic oaths broken - people died! All for the want of a cheap drug."
"Kaiya1212","Writer; animal, nature, music, travel & language lover. Despise Cancer, Trump, Intolerance, & Pain. Pick the order!:pouting cat:#WritingCommunity #WritersinQuarantine #FBR"
"sonicgabe","St. Petersburg, FL based photographer, retired musician, sometimes writer. #ShittyCameraChallenge Champion. Prints available on my website."
"IuliuDumitrascu","My teams provide people, methods, and means to help manage relationships, data, and resources: https://t.co/uNoWL7oD0w"
"markpsadler","Author of thrillers, Blood on His Hands & Kettle of Vultures. Co-writer for You Only Live Twice, a TV series. Reviewer for Suspense Magazine. Fan of Everton FC."
"Loves_Equines","#VoteBlue  #Resist  Love ALL animals, especially horses. :horse: #VotingRights! #CivilRights! #WomensRights! #EqualRights! #LGBTQ-ally #BLM #MeToo  #TrumpToPrison!"
"RyanGThomas_io","Podcast - The Entrepreneur Battle. Real Stories of Blood, Sweat and Success!"
"thrasher_mike",""
"ClearwaterBchHI","In the heart of award-winning Clearwater Beach!   1-800-770-6461"
"Minneappletini","Female, LGBTQ+, human rights, writer, public relations, survivor of suicide loss. Lover of foreign languages and dogs. Not a doctor."
"group_dennis",""
"MarkSharpe39kFT","fmr County Commissioner / Navy Vet / Trail Runner / drinks #blckriflecoffee / Builds #InnovationDistricts"
"ChrisFSU0220","BLESSED to be a Christian, PROUD father, husband, USAF, Deputy

FSU :oden::oden:, Washington Commanders, Bolts :high voltage::high voltage:"
"reelanimalsfish","Nationally syndicated Fishing Show starring Captain Mike Anderson; fishing the skinny flats to miles offshore with great tips, techniques & more!"
"fishermate_app","Official Twitter for FisherMate Social, Chat with anglers and spread the joy of fishing"
"theheinekentom","I cook, I eat, I travel... and I'm thirsty... for more."
"BeachesChamber","The TBBCoC is one of the largest chambers in the Tampa Bay area, serving beach communities from Sand Key to Pass-A-Grille.
2012 FLORIDA CHAMBER OF THE YEAR!"
"angeloluvslucy","#resister #impeach"
"vicore67",""
"joell51868","Wife & Mom first, Everything is better at the beach kinda girl. Born & raised Philly girl living in a Jersey World."
"bisher247",""
"bree__cheese","24 :kiss mark:| never not vibing :revolving hearts:| she/her :Libra::Scorpio::Virgo:"
"ItsTooShea","15"
"oceansoffreedom","Proud Mama to an amazing boy :red heart: Ocean lover :water wave: Orcaholic :dolphin: Pizza always :pizza: May or may not be a beer snob :clinking beer mugs: Travel junkie :airplane:"
"ChrissyIles","Animal Activist! Love the Ocean, Orcas mostly. Fur Is Murder. Big Hearted!! If you love animals, We'll get along fine! Oh ya, Single too! We are Groot!!"
"DoubleTreeBeach","We are the beautiful, tropical @Doubletree Beach Resort, located directly on the Gulf of Mexico between Clearwater and St. Pete Beaches! :sun:"
"ladydiblu1","Eastern Orthodox :orthodox cross: Oh Lord Save Thy People :orthodox cross: 

Not about me-Nurse-Live in Twilight Zone"
"marcbonanno","join us for a trip of a lifetime!!"
"notrereveameric",":books: Auteur des #livres """"Notre Rêve Américain"""" et """"Expatriation aux USA, le jour d'après"""". Disponibles sur #amazon.#dvlottery #greencard #expatriation #usa #book"
"LeAneSuarez","Vice President, BROKER | John R Wood Christie's International Real Estate"
"cleanairfrank","Retired President of the non-profit Clean Air Watch. Devoted dog dad."
"vinicius_rr","Sniffing around..."
"c_duigan","environmental consultant, researcher; narrative nonfiction writer; water; culture; nature; heritage; Wales; Ireland; accepts commissions"
"felixculpa52","Person of Letters, retired NYC Literacy Teacher, musician, in Anti-Vietnam War & Civil Rights Movements, Steely Dan, Joni Mitchell, & Firesign Theatre fan."
"VMurdockTV","Weekend Meteorologist at CBS2 New York"
"89wunderlust","RESIST “Forewarned is forearmed”, we can’t afford to bury our heads in the sand. #VoteBlueNoMatterWho Married No DM’s"
"FromDiagnosis","This guided-imagery program has been created to help anyone who has been diagnosed with cancer. I am an educator, wellness/life coach, hypnotist, survivor."
"DRenfranz","Degrees in Mass Comm and Sociology.  Observer: Comment from time-to-time. Not fond of America's new breed of neo-nazis."
"PascoExt","Pasco County Government is Bringing Opportunities Home with the expertise of UF/IFAS Extension. We have Solutions for Your Life! Like us on Facebook!"
"soobey2","Powered by sunshine. #kindness #pickupyourtrash #dogmom #adoptdontshop"
"MCLOVIN83","From Carolina to Miami and then to Savannah to Tampa.... Obviously I'm lost. Sneakers, Wrestling, Sports. Not in that order"
"LucyPepePatti",""
"OliviaTanager","(she/her) / ecological justice advocate / tweets are my own"
"stmfla",""
"bedbug_blog","U can always Count ON US Truth & Only Truth on Banishing Bedbugs Mosquitoes, Kissing Bug & their transmission of Deadly Tropical Diseases like Chagas Zika MRSA"
"DanDGerard","Tampa living. My dog Winter is my child. If you don't like one of my tweets, I was obviously hacked then. suicide survivor. I speak GIF. News Geek."
"NNudists","Welcome to the only dive and boating club of its kind, operated by and for nudists and guests who are interested in clothing free recreation."
"AFPhotos","Award winning Automotive Industry executive and Photographer with an eye for travel and a love of family. That says some about me."
"floridawahoo","UVA and MCV/VCU graduate, Anatomic and Clinical Pathologist, serving our Veterans, Steelers fan, Bolts member for life, and  Floridian parent of a Gator grad."
"jeremysapp90","The Construction Connector. Construction Recruiter. CEO of The JS Agency. Passionate about Success and Freedom"
